id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
170020339,0.75,0.60,0.44,0.50,0.67,0,0.50,1,1,0,
180053299,0.92,1,0.50,0.50,0.50,0.50,0.45,1,1,1.48,0
190027011,0.25,1,0.22,0.50,0,0,0,0,0,0,
190035935,0.83,,0.50,0.50,0.08,0.50,0.25,1,0.90,0,
200032364,0.83,0.80,0.50,0.50,0.67,0.50,0.45,0.90,1,1.42,1.50
200064053,0.67,0,0.50,0.50,0,0.50,0.45,0.90,0.90,0,0
202045400,0.83,1,0.50,0.50,0.50,0.50,0.25,1,0.90,1.20,1.50
202045900,0.92,1,0.50,0,1,0.50,0,1,1,0,0
202046283,0.50,1,0.50,0.50,0.42,0.50,0.50,1,1,1.48,1.50
211061369,0.58,0.80,0.39,0,0.17,0,0,0,0,0,
211061529,0.92,0.60,0.44,0.50,1,0.50,0,1,0,0,1.50
211062508,0.83,0.60,0.44,0.50,1,0.10,0.50,1,1,0.15,
211062858,0.92,0.80,0.50,0.50,0.33,0.50,0.35,1,1,1.42,0
211062956,0.83,1,0.44,0.50,0.75,0.50,0.50,1,1,1.48,
221008740,0.83,1,0.33,0.50,0.75,0.50,0.45,1,1,0.75,1.50
221022220,0.92,1,0.50,0,0.08,0.50,0.45,1,1,1.48,1.50
221022435,0.92,1,0.44,0,0.75,0.50,0.50,1,1,1.35,0
221022453,0.83,1,0.44,0.50,1,0.50,0.45,1,1,1.42,1.50
221022631,0.67,0.60,0.39,0,1,0.50,0.20,1,1,1.42,
221029220,0.50,0.83,0.33,0,0.17,0.45,0.50,0.90,0.90,0,
222006113,0.67,1,0.22,0,0.42,0.45,0.45,0.90,0.50,0,
222006356,0.83,1,0.50,0,1,0.50,0.45,1,0.90,1.42,1.50
222006937,0.92,1,0.50,0.50,1,0.30,0.50,1,1,1.48,1.50
222007030,0.92,1,0.50,0.50,0.75,0.50,0.10,0.90,1,0.90,0
222008691,0.92,0.80,0.39,0,0.67,0.50,0.35,1,1,1.48,1.50
222008824,0.83,1,0.44,0.50,0.75,0.50,0.40,1,0.80,1.42,0
222022135,0.42,0.80,0.17,0,0.33,0.45,0,0,0,0,0
222025914,0.83,1,0.50,0.50,1,0.50,0.50,1,1,0,
222031528,0.92,1,0.50,0.50,1,0.45,0.50,0.90,1,1.35,1.50
222037620,0.58,0.60,0.50,0.50,0.75,0.50,0.45,0.90,0.90,0,0
231012245,0.92,1,0.44,0.50,0.33,0.50,0.50,1,1,1.48,1.50
231012316,0.83,1,0.50,0.50,0,0.45,0.45,0.90,1,1.42,1.50
231026699,0.92,0.80,0.50,0,0.50,0.50,0.35,0.90,1,1.20,1.50
231027023,0.83,0.83,0.50,0,0.42,0.50,0.45,0.90,1,0,
231037745,0.83,0.83,0.50,0,0.75,0.50,0.50,1,0.90,1.48,1.50
231038644,0.75,0.60,0.44,0,0.75,0.50,0.30,1,0.80,1.50,1.50
232003269,0.92,1,0.50,0,0.50,0.50,0.45,1,1,1.05,1.50
232003723,0.75,0.80,0.50,0.50,0.75,0.50,0.45,1,1,1.42,0
232013980,0.92,0.83,0.50,0.50,0.75,0.40,0.40,1,1,0.90,1.50
232014100,0.58,1,0.33,,0.67,0.50,0.50,0.80,0.70,1.48,0
232014146,0.42,0.60,0.50,0.50,0.67,0.50,0.50,1,0.90,1.48,0
232014398,0.83,1,0.44,0.50,1,0.50,0.50,1,1,1.48,1.50
232014404,0.67,1,0.39,0.50,0.42,0.50,0.15,1,0.80,1.35,1.50
232014530,0.83,0.83,0.50,0.50,0.50,0.45,0.40,1,1,1.42,0
232021786,0.83,1,0.39,0,0.67,0.50,0.45,1,0.80,1.05,0
232023940,0.92,1,0.50,0.50,0.67,0.50,0.30,1,0.60,0,1.50
232028393,0.83,1,0.44,0.50,0.25,0.50,0.45,1,0.90,1.48,1.50
232030041,,,,,,0,0,0,0,0,0
232032000,0.83,1,0.50,0.50,0.75,0.50,0.45,1,1,1.48,1.50
232038442,0.92,1,0.50,0.50,1,0.50,0.50,1,1,1.48,1.50
241011027,0.92,1,0.44,0.50,1,0.50,0.50,1,1,1.48,1.50
241011081,0.92,1,0.44,0.50,0.75,0.50,0.45,1,1,1.48,1.50
241011386,0.83,1,0.50,0.50,1,0.50,0.50,1,1,1.48,1.50
241011653,0.83,0.83,0.50,0.50,1,0.50,0.40,1,1,1.48,1.50
241011804,0.83,0.83,0.50,0.50,1,0.50,0.50,1,1,1.42,1.50
241011930,0.83,0.80,0.50,0.50,0.42,0.50,0.45,1,1,1.42,1.50
241011967,0.83,1,0.44,0.50,0.75,0.50,0.50,1,1,1.48,1.50
241012131,0.92,1,0.44,0,0.75,0.50,0.50,1,1,1.05,1.50
241012374,0.83,1,0.50,0.50,1,0.50,0.50,1,1,1.42,1.50
241025149,0.83,1,0.50,0.50,0.67,0.50,0.45,1,1,1.42,1.50
241025461,0.83,0.80,0.39,0,0.42,0.50,0.30,1,1,1.48,0
241025505,0.50,1,0.33,0.50,0.67,0.45,0.45,0.90,0.90,1.48,0
241025784,0.92,0.60,0.44,0,0.50,0.50,0.15,0.90,0.90,1.35,0
241025837,0.83,1,0.50,0.50,1,0.50,0.50,1,1,1.48,1.50
241025855,0.92,1,0.44,0,1,0.50,0.50,1,1,1.42,1.50
241025935,0.83,1,0.50,0,0.42,0.45,0.40,1,1,1.48,1.50
241026001,0.83,1,0.50,0.50,0.50,0.50,0.45,1,1,1.48,1.50
241038450,0.83,0.83,0.50,0,0.67,0.50,0,1,0.60,1.20,0
241038998,0.83,1,0.50,0.50,0.75,0.50,0.35,1,1,1.48,1.50
241039073,0.75,0.80,0.50,0.50,0.67,0.50,0.50,0.90,1,1.42,1.50
242005196,0.83,1,0.50,0.50,0.67,0.50,0.50,1,1,1.48,0
242015586,0.83,1,0.44,0.50,0.75,0.50,0.45,1,1,1.42,1.50
242015666,0.83,1,0.44,0.50,0.67,0.50,0.35,1,0.90,1.42,1.50
242015924,0.83,0.83,0.50,0.50,0.75,0.50,0.15,0.90,1,0.60,1.50
242023846,0.50,0.80,0.44,0.50,0.67,0.50,0.40,1,1,1.48,
242042215,0.83,1,0.50,0.50,1,0.50,0.50,1,1,1.48,1.50
