id,q1,q2,q3,q4,q5,q6,q7,q8,q9
170020339,0.50,0.75,0.75,1,1,1,1.25,0.90,2.25
180053299,0.50,0.75,0.75,1,0.80,1,1.25,1.50,2.25
190027011,0.50,0.56,0.75,1,1,1,1.25,1.50,2.02
190035935,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
200032364,0.50,0.75,0.60,1,0.80,1,1.25,1.42,2.25
200064053,0.50,0.75,0.75,1,1,1,1.25,1.42,0
202045400,0.50,0.75,0.75,1,0.80,0.33,,1.20,2.25
202045900,0.50,0.75,0.60,1,1,1,1.25,1.42,0
202046283,0.25,0.56,0.75,1,1,1,1.25,1.50,2.25
211061369,0.25,0.56,0.45,1,0.80,0.33,0,0,0
211061529,0.50,0.75,0.75,1,0.60,1,1.25,1.50,2.25
211062508,0.50,0.75,0.75,1,1,1,1.25,1.50,2.02
211062858,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
211062956,0.50,0.75,0.75,1,1,1,,1.50,2.25
221008740,0.50,0.75,0.75,1,0.80,0,1.25,1.50,2.25
221022220,0.50,0.75,0.75,1,0.80,1,1.25,1.50,2.25
221022435,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
221022453,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
221022631,0.50,0.75,0.15,-0.20,1,1,1.25,1.42,2.25
221029220,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
222006113,0.50,0.75,0.75,1,0.80,0.67,1.25,1.50,2.25
222006356,0.50,0.56,0.75,1,1,0.67,0,1.42,2.25
222006937,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
222007030,0.50,0.75,0.75,1,1,1,0,1.50,2.02
222008691,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
222008824,0.50,0.75,0.75,1,1,1,0,1.42,2.25
222022135,0.50,0.38,0.75,1,0.80,1,0,1.20,2.25
222025914,0.50,0.75,0.75,1,1,1,,1.50,2.25
222031528,0.50,0.75,0.75,1,1,1,1.25,1.35,2.02
222037620,0.50,0.75,0.75,1,1,0.13,1.25,1.50,2.25
231012245,0.50,0.75,0.75,1,0.60,1,1.25,1.42,2.25
231012316,0.50,0.56,0.75,1,1,1,1.25,1.50,2.25
231026699,0.50,0.75,0.60,1,1,1,1.25,1.42,2.25
231027023,0.50,0.56,0.75,1,1,1,1.25,1.50,2.25
231037745,0.50,0.75,0.75,1,0.60,1,0,0.15,2.25
231038644,0.50,0.56,0.75,1,0.60,1,1.25,1.50,2.25
232003269,0.50,0.75,0.75,1,0.80,1,1.25,1.50,2.25
232003723,0.50,0.75,0.75,1,0.80,1,0,1.35,2.25
232013980,0.50,0.75,0.75,1,0.60,1,1.25,1.50,2.25
232014100,0,0.75,0.75,1,0.60,1,0,1.50,0
232014146,0,0.75,0.75,1,1,1,1.25,1.50,2.25
232014398,0.50,0.75,0.60,1,1,1,1.25,1.50,2.25
232014404,0.50,0.75,0.60,1,0.80,1,0,1.42,2.25
232014530,0.50,0.75,0.75,-0.20,1,1,1.25,1.50,1.58
232021786,0.50,0.75,0.60,1,1,1,1.25,1.42,1.80
232023940,0.50,0.75,0.75,1,1,0.67,1.25,1.42,2.25
232028393,0.50,0.75,0.75,1,0.40,1,1.25,1.42,2.25
232030041,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
232032000,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
232038442,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
241011027,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
241011081,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
241011161,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
241011386,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
241011653,0.50,0.56,0.75,1,1,1,1.25,1.42,2.02
241011804,0.50,0.75,0.75,1,0.80,1,1.25,1.42,2.25
241011930,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
241012131,0.50,0.56,0.75,1,1,1,1.25,1.50,2.25
241012374,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
241025149,0.50,0.75,0.75,1,1,1,0,1.50,2.25
241025461,0.50,0.75,0.75,-0.20,0.60,0,1.25,1.42,2.25
241025505,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
241025784,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
241025837,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
241025855,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
241025935,0.50,0.75,0.75,1,1,1,1.25,1.42,2.25
241026001,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
241038450,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
241038998,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
241039073,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
242005196,,,0.75,,,,,0,0
242015586,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
242015666,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
242015924,0.50,0.75,0.75,1,1,1,1.25,1.35,2.02
242023846,0.50,0.75,0.75,1,1,1,1.25,1.50,2.25
242042215,0.50,0.75,0.75,1,0.80,1,1.25,1.50,2.02
