id,q1,q2,q3,q4,q5,q6,q7
180053299,0.89,1,0.29,0.20,2,2,2
190027011,0.89,0.86,0.71,1,2,2,0
190035935,0.78,1,0.43,0.60,0,2,
200032364,0.89,1,0.29,1,0,2,2
202045400,0.56,1,0.57,1,0,,
202045900,0.89,1,0.71,0.20,,,0
202046283,0.89,1,0.71,0.60,2,2,2
211061369,0.56,0.57,0.43,0,,,
211061529,0.78,1,0.71,1,2,2,0
211062508,0.89,0.71,0.71,1,2,0,0
211062858,,,,,,2,2
211062956,0.89,1,0.71,1,2,2,2
221008740,0.78,1,0.14,0,2,2,0.50
221022220,0.89,0.86,0.71,1,2,2,2
221022435,0.89,1,0.71,1,2,0.40,2
221022453,0.89,1,0.57,1,2,2,2
221022631,0.89,1,0.71,1,2,2,0
221029220,0.89,1,1,1,2,2,2
222006113,1,1,0.71,1,2,2,2
222006356,0.89,1,0,1,2,2,2
222006937,0.89,1,0.71,0,2,2,0
222007030,0.89,0.71,1,1,2,2,0
222008691,1,1,0.43,0,2,2,2
222008824,0.89,1,0.43,1,0,0.40,0
222022135,0.89,1,0.71,0,2,2,0
222025914,0.89,1,0.71,1,2,2,
222031528,0.89,1,0.71,1,2,2,0
222037620,1,1,0.71,1,2,2,2
231012245,0.89,1,0.71,1,2,2,2
231012316,1,1,0.71,1,2,2,2
231026699,0.89,1,0.71,1,0,2,0
231027023,0.89,1,0.71,1,2,2,2
231037745,0.89,1,0.29,1,2,0,0
231038644,0.89,1,0.71,0,2,2,0
232003269,0.89,1,0.43,0.40,2,2,0
232003723,0.67,1,0.71,1,0.57,0.40,2
232013980,1,1,0.29,1,2,2,2
232014100,0.89,1,0.71,1,2,2,
232014146,0.78,0.86,0.71,1,2,2,2
232014398,1,1,0.57,1,2,2,2
232014404,0.89,1,0.86,1,2,2,2
232014530,0.89,1,0.43,1,0,0,0
232021786,0.89,1,0.43,1,2,2,0
232023940,1,1,0.71,1,2,2,0
232028393,0.78,0.86,0.29,0.40,2,2,2
232030041,0.89,0.86,0.71,0.60,2,2,2
232032000,0.89,1,0.71,0.40,2,2,2
232038442,1,1,0.14,1,2,2,2
241011027,0.89,0.86,0.71,1,2,2,2
241011081,0.89,1,0.57,1,2,2,2
241011161,0.89,1,0.43,0.60,2,2,2
241011386,0.89,1,0.71,1,2,2,2
241011653,0.89,1,1,1,2,2,2
241011804,0.89,1,0.71,1,0,0,0
241011930,0.89,0.86,0.71,0.40,2,2,2
241012131,1,1,0.71,1,2,2,0
241012374,0.89,1,0.71,1,2,2,2
241025149,0.89,1,0.43,0.60,2,2,2
241025461,0.89,1,0.71,0,0,0,0
241025505,0.89,0.86,0.57,1,2,0,0
241025784,0.89,1,0.29,0.40,2,2,2
241025837,0.89,1,0.71,1,2,2,0
241025855,0.89,1,0.57,1,2,0,2
241025935,0.89,1,0.43,1,2,2,0
241026001,0.89,1,0.71,1,2,2,2
241038450,0.89,1,0,0.40,2,2,2
241038998,0.89,1,0.71,1,2,0,2
241039073,0.78,1,0.43,1,2,2,2
242005196,0.89,1,0.71,1,2,2,0
242015586,1,1,0.71,1,2,2,2
242015666,0.89,1,0.71,1,2,2,
242015924,0.89,1,0.71,0.20,2,2,0
242023846,0.89,1,0.71,1,0,0,0
242042215,0.89,1,0.43,1,2,0,2
