id,P1,P2,P3,subs,trabalho,total,final
170020339,5.46,9.40,5.25,,,6.033,MM
180053299,7.85,9.80,8.38,,10,8.809,MS
190027011,1.97,9.58,7.46,9.89,0.07,5.710,MS
190035935,4.56,10.00,4.81,,0.07,5.818,MM
200032364,9.07,9.57,7.18,,10,8.746,MS
200064053,4.42,7.67,,,10,4.627,MM
202045400,8.68,7.58,3.13,,2.74,6.091,MM
202045900,5.92,7.52,2.80,,,4.872,MI
202046283,8.90,9.56,9.20,,10,9.298,SS
211061369,1.94,3.39,1.56,,,2.067,II
211061529,6.46,9.60,7.49,,,7.065,MS
211062508,6.12,9.77,5.31,,0.07,6.367,MM
211062858,7.32,10.00,6,2.89,,6.996,MS
211062956,8.00,8.75,9.60,,,7.905,MS
221008740,8.61,8.80,6.42,,9.94,8.143,MS
221022220,8.43,9.80,9.46,,10,9.307,SS
221022435,7.46,10.00,8.00,,,7.638,MS
221022453,9.64,10.00,9.46,,,8.730,MS
221022631,6.78,8.12,7.60,,,6.750,MM
221029220,4.58,10.00,9.89,,10,8.341,MS
222006113,4.61,9.47,9.71,,10,8.137,MS
222006356,9.10,8.15,8.89,,,7.842,MS
222006937,9.70,10.00,6.60,,10,8.890,SS
222007030,7.07,8.52,7.60,,,6.957,MS
222008691,8.61,10.00,8.43,,,8.112,MS
222008824,7.64,8.67,3.72,,,6.009,MM
222022135,2.17,7.88,6.60,9.69,10,5.995,MS
222025914,6.83,8.75,7.60,,,6.954,MS
222031528,9.62,9.62,7.60,,10,9.052,SS
222037620,5.68,9.13,9.71,,5.51,7.907,MS
231012245,9.17,9.52,9.60,,10,9.487,SS
231012316,8.55,9.81,9.71,,9.97,9.418,SS
231026699,8.17,9.77,5.60,,9.97,8.059,MS
231027023,5.43,9.81,9.60,,,7.452,MS
231037745,8.79,7.00,5.18,,,6.291,MM
231038644,8.14,9.41,6.60,,9.97,8.242,MS
232003269,8.42,9.80,6.72,,10,8.482,MS
232003723,7.67,8.40,6.35,,9.89,7.715,MS
232013980,8.70,9.60,9.29,,10,9.277,SS
232014100,6.56,5.60,9.60,,10,7.528,MS
232014146,7.07,9.50,9.35,,0,7.776,MS
232014398,9.75,9.85,9.57,,10,9.751,SS
232014404,8.28,8.32,9.75,,10,8.905,SS
232014530,7.43,8.13,3.32,,,5.664,MM
232021786,6.69,9.32,7.32,,10,7.999,MS
232023940,7.49,9.59,7.71,3,10,8.437,MS
232028393,8.85,9.32,8.33,,10,8.950,SS
232030041,8.56,10.00,9.06,,10,9.286,SS
232032000,9.51,10.00,9.00,,10,9.553,SS
232038442,9.90,10.00,9.14,,10,9.712,SS
241011027,9.84,10.00,9.46,,10,9.790,SS
241011081,9.54,10.00,9.46,,10,9.700,SS
241011161,,10.00,8.92,,0,5.676,MM
241011386,9.81,10.00,9.60,,10,9.823,SS
241011653,9.54,9.50,9.89,,10,9.679,SS
241011804,9.58,9.72,3.60,,10,7.870,MS
241011930,8.92,10.00,8.86,,10,9.334,SS
241011967,9.50,,,,,2.850,II
241012131,8.66,9.81,7.71,,10,8.854,SS
241012374,9.75,10.00,9.60,,10,9.805,SS
241025149,9.37,8.75,8.92,,10,9.112,SS
241025461,6.72,7.32,2.60,,,4.992,MM
241025505,7.18,10.00,5.32,,10,7.750,MS
241025784,6.26,10.00,8.58,,10,8.452,MS
241025837,9.81,10.00,7.60,,,8.223,MS
241025855,9.28,10.00,7.46,,10,9.022,SS
241025935,8.58,9.92,7.32,,10,8.746,MS
241026001,9.26,10.00,9.60,,10,9.658,SS
241038450,6.13,10.00,8.29,,10,8.326,MS
241038998,9.41,10.00,7.60,,10,9.103,SS
241039073,9.04,10.00,9.21,,10,9.475,SS
242005196,7.98,0.75,7.60,,10,5.899,MM
242015586,9.39,10.00,9.71,,0.07,8.737,MS
242015666,9.11,10.00,9.60,,10,9.613,SS
242015924,8.06,9.62,6.80,,10,8.344,MS
242023846,7.29,10.00,3.60,,,6.267,MM
242042215,9.81,9.57,7.32,,10,9.010,SS
